"","country","name","description","startYr","endYr"
"1","afghanistan","zalmay_rassoul_","Minister of Foreign Affairs & Presidential Adviser on National Security & National Security Adviser","20031201","20050831"
"2","afghanistan","zalmai_rassoul_","National Security Adviser","20050901","20060131"
"3","afghanistan","zahir_tanin_","Permanent Representative to the UN, New York","20070201","20161201"
"4","afghanistan","yusof_pashtun_","Minister of Housing and Urban Development","20050101","20060531"
"5","afghanistan","yunis_qanuni_","Minister of Education","20040931","20161201"
"6","afghanistan","yousef_pashtun_","Minister of Urban Development","20060601","20090231"
"7","afghanistan","wahidullah_shahrani_","Minister of Commerce and Industry ""Acting""","20090101","20161201"
"8","afghanistan","ustad_haji_mohammad_mohaqqeq_","Minister of Planning","20040531","20161201"
"9","afghanistan","taj_mohammad_wardak_","Minister of Interior","20030931","20161201"
"10","afghanistan","suraya_dalil_","Minister of Health ""Acting""","20100401","20161201"
"11","afghanistan","surab_ali_safari_","Minister of Public Works","20060601","20100631"
"12","afghanistan","sultan_hossain_hesari_","Minister of Urban Development ""Acting""","20100401","20161201"
"13","afghanistan","sohrab_ali_safari_","Minister of Public Works","20050101","20060531"
"14","afghanistan","sohaila_sediq_","Minister of Public Health","20041231","20161201"
"15","afghanistan","sima_samar_","Chair of the Human Rights Commission","20070531","20161201"
"16","afghanistan","sher_mohammad_etebari_","Minister of Refugees and Repatriation","20071201","20081231"
"17","afghanistan","seyyed_tayeb_jawad_","Ambassador to the US","20031001","20040531"
"18","afghanistan","seyyed_mustafa_kazemi_","Minister of Commerce","20031001","20041231"
"19","afghanistan","seyyed_mohammad_ali_jawed_","Minister of Transportation","20031001","20041231"
"20","afghanistan","seyyed_makhdoom_raheen_","Minister of Information and Culture","20031001","20041231"
"21","afghanistan","seyyed_hussain_anwari_","Minister of Agriculture and Livestock","20031001","20041231"
"22","afghanistan","sediqa_balkhi_","Minister of Martyrs and Disabled","20050101","20060531"
"23","afghanistan","sayed_mustafa_kazemi_","Minister of Commerce","20030931","20161201"
"24","afghanistan","sayed_mohammad_amin_fatemi_","Minister of Health","20050101","20100331"
"25","afghanistan","sayed_mohammad_ali_jawed_","Minister of Transportation","20030931","20161201"
"26","afghanistan","sayed_makhdum_rahin_","Minister of Information and Culture","20050101","20060531"
"27","afghanistan","sayed_makhdoom_raheen_","Minister of Information and Culture","20030931","20161201"
"28","afghanistan","sayed_hussain_anwari_","Minister of Agriculture and Livestock","20030931","20161201"
"29","afghanistan","sayed_ekramoddin_masumi_agha_","Minister of Labor and Social Affairs","20050101","20060531"
"30","afghanistan","sayed_amir_shah_hasanyar_","Minister of Higher Education","20050101","20060531"
"31","afghanistan","sarwar_danesh_","Minister of Justice","20050101","20060531"
"32","afghanistan","said_tayeb_jawad_","Ambassador to the US","20050101","20101031"
"33","afghanistan","saidtayeb_jawad_","Ambassador to the US","20040601","20041231"
"34","afghanistan","ravan_a_g_farhadi_","Permanent Representative to the UN","20030801","20070131"
"35","afghanistan","rangin_dadfar_spanta_","Minister of Foreign Affairs & National Security Adviser","20060601","20100131"
"36","afghanistan","ramazan_bashardost_","Minister of Planning","20040601","20041231"
"37","afghanistan","rahmatullah_nabil_","Director General ""Acting"", National Directorate of Security","20100801","20161201"
"38","afghanistan","omar_zakhilwal_","Minister of Finance & Minister of Transportation ""Acting""","20090101","20090231"
"39","afghanistan","obaidullah_ramin_","Minister of Agriculture and Food","20050401","20081031"
"40","afghanistan","nur_mohammad_qarqin_","Minister of Martyrs, Disabled, and Social Affairs & Minister of Education","20060601","20100131"
"41","afghanistan","nurollah_delawari_","Governor, Central Bank","20050101","20071131"
"42","afghanistan","noor_mohammad_qarqin_","Minister of Labor and Social Affairs","20041231","20161201"
"43","afghanistan","niamatullah_shahrani_","Vice President & Minister of Hajj and Islamic Affairs","20060601","20090331"
"44","afghanistan","niamatullah_ehsan_jawid_","Minister of Transportation","20061001","20080331"
"45","afghanistan","nematollah_shahrani_","Minister of Hajj and Islamic Affairs","20050101","20060531"
"46","afghanistan","moqbal_zarar_","Minister of Interior","20060601","20070331"
"47","afghanistan","mohammad_yusuf_pashtun_","Minister of Urban Development","20030931","20161201"
"48","afghanistan","mohammad_yusuf_niazi_","Minister of Hajj and Islamic Affairs","20100201","20161201"
"49","afghanistan","mohammad_yousef_pashtun_","Minister of Urban Development","20090301","20100331"
"50","afghanistan","mohammad_sharif_faez_","Minister of Higher Education","20041231","20161201"
"51","afghanistan","mohammad_shaker_kargar_","Minister of Water and Power","20041231","20161201"
"52","afghanistan","mohammad_sediq_chakari_","Minister of Hajj and Islamic Affairs ""Acting""","20090401","20100131"
"53","afghanistan","mohammad_sarwar_danesh_","Minister of Higher Education ""Acting"" & Minister of Justice","20060601","20100131"
"54","afghanistan","mohammad_mirwais_sadeq_","Minister of Civil Aviation and Tourism","20040531","20161201"
"55","afghanistan","mohammad_masoom_stanakzai_","Minister of Communications","20041231","20161201"
"56","afghanistan","mohammad_karim_brahawi_","Minister of Border and Tribal Affairs & Minister of Refugees and Repatriation","20060601","20081231"
"57","afghanistan","mohammad_jalil_shams_","Minister of Economy","20061001","20100131"
"58","afghanistan","mohammad_hanif_atmar_","Minister of Interior & Minister of Rural Development & Minister of Education","20081101","20100631"
"59","afghanistan","mohammad_fahim_khan_","Vice President & First Vice President & Minister of Defense","20050131","20161201"
"60","afghanistan","mohammad_azam_dadfar_","Minister of Higher Education","20060601","20100331"
"61","afghanistan","mohammad_aref_noorzai_","Minister of Border and Tribal Affairs","20041231","20161201"
"62","afghanistan","mohammad_amin_naseryar_","Minister of Hajj and Mosques","20041231","20161201"
"63","afghanistan","mohammad_amin_farhang_","Minister of Reconstruction & Minister of Commerce","20061001","20081231"
"64","afghanistan","mohammad_alam_razam_","Minister of Light Industry and Food Stuffs","20041231","20161201"
"65","afghanistan","mohammadalluh_batash_","Minister of Transportation ""Acting""","20100401","20100731"
"66","afghanistan","mir_mohammad_sediq_","Minister of Mines and Industries","20050101","20060531"
"67","afghanistan","mir_mohammad_amin_farhang_","Minister of Economy","20050101","20060531"
"68","afghanistan","massouda_jalal_","Minister of Womens Affairs","20050101","20060531"
"69","afghanistan","khodaidad_","Minister of Counternarcotics ""Acting""","20071001","20100131"
"70","afghanistan","juma_mohammad_mohammadi_","Minister of Mines and Industries","20030931","20161201"
"71","afghanistan","jarullah_mansoori_","Minister of Rural Rehabilitation and Development","20100201","20161201"
"72","afghanistan","jamahir_anwari_","Minister of Refugees and Repatriation","20100701","20161201"
"73","afghanistan","ismail_khan_","Minister of Energy, Water, and Power","20050101","20161201"
"74","afghanistan","ishaq_shahryar_","Ambassador to the US","20030931","20161201"
"75","afghanistan","ibrahim_adel_","Minister of Mines and Industries","20060601","20100131"
"76","afghanistan","hedayat_amin_arsala_","Vice President & Minister of Commerce","20050201","20060531"
"77","afghanistan","hasan_bano_ghazanfar_","Minister of Womens Affairs","20061001","20161201"
"78","afghanistan","hamidullah_qaderi_","Minister of Transportation","20080401","20081231"
"79","afghanistan","hamidollah_faruqi_","Minister of Transportation ""Acting""","20090301","20100331"
"80","afghanistan","hakim_taniwal_","Minister of Mines and Industries","20040601","20041231"
"81","afghanistan","habibullah_qaderi_","Minister of Counternarcotics","20050101","20070931"
"82","afghanistan","habibullah_ghaleb_","Minister of Justice","20100201","20161201"
"83","afghanistan","habiba_sorabi_","Minister of Womens Affairs","20041231","20161201"
"84","afghanistan","gul_agha_shirzai_","Minister of Urban Development","20031001","20041231"
"85","afghanistan","ghulam_mohammad_ailaq_","Minister of Commerce and Industry ""Acting""","20100401","20100631"
"86","afghanistan","foreign_minister_abdullah_","Minister of Foreign Affairs","20060531","20161201"
"87","afghanistan","faruq_wardak_","Minister of Education","20081101","20161201"
"88","afghanistan","faisal_ahmad_shinwari_","Chief Justice of the Supreme Court","20060931","20161201"
"89","afghanistan","enayatullah_nazeri_","Minister of Refugee Affairs","20041231","20161201"
"90","afghanistan","enayatollah_qasemi_","Minister of Transport","20050101","20060531"
"91","afghanistan","ehsan_zia_","Minister of Rural Development","20060601","20100131"
"92","afghanistan","daoud_ali_najafi_","Minister of Transportation ""Acting""","20100801","20161201"
"93","afghanistan","bismullah_muhammadi_khan_","Minister of Interior","20100701","20161201"
"94","afghanistan","bismillah_bismel_","Minister of Civil Aviation and Tourism","20040601","20041231"
"95","afghanistan","azam_dadfar_","Minister of Refugees","20050101","20060531"
"96","afghanistan","asif_rahimi_","Minister of Agriculture","20081101","20161201"
"97","afghanistan","ashraf_ghani_","Minister of Finance","20041231","20161201"
"98","afghanistan","asadullah_khalid_","Minister of Border and Tribal Affairs","20090101","20100331"
"99","afghanistan","arsala_jamal_","Minister of Border and Tribal Affairs ""Acting""","20100401","20100631"
"100","afghanistan","anwar_ul_haq_ahady_","Minister of Finance & Governor, Central Bank & Minister of Commerce and Industry","20050101","20090231"
"101","afghanistan","amirzai_sangin_","Minister of Communications","20050101","20161201"
"102","afghanistan","amina_afzali_","Minister of Youth & Minister of Martyred, Disabled, Labor, and Social Affairs","20050201","20060531"
"103","afghanistan","amena_afzali_","Minister of Youth & Minister of Martyred, Disabled, Labor, and Social Affairs","20050201","20060531"
"104","afghanistan","ali_ahmad_jalali_","Minister of Interior","20031001","20051031"
"105","afghanistan","akbar_akbar_","Minister of Refugees","20060601","20071131"
"106","afghanistan","ahmad_zia_masood_","Vice President","20050201","20091231"
"107","afghanistan","ahmad_yusuf_nuristani_","Minister of Irrigation and Environment","20041231","20161201"
"108","afghanistan","ahmad_moshahed_","Minister of Education","20041001","20041231"
"109","afghanistan","ahmad_moqbel_zarar_","Minister of Interior & Minister of Counternarcotics","20051101","20060531"
"110","afghanistan","acting_minister_abdul_rahim_","Minister of Refugees and Repatriation ""Acting""","20100401","20100631"
"111","afghanistan","abdul_rahim_wardak_","Minister of Defense","20050101","20161201"
"112","afghanistan","abdul_rahim_karimi_","Minister of Justice","20041231","20161201"
"113","afghanistan","abdul_qodus_hamidi_","Minister of Public Works","20100701","20161201"
"114","afghanistan","abdul_qadir_fitrat_","Governor, Central Bank","20071201","20161201"
"115","afghanistan","abdul_karim_khuram_","Minister of Youth and Culture","20061001","20100131"
"116","afghanistan","abdul_karim_khalili_","Vice President","20030101","20161201"
