"","country","name","title","startYr","endYr"
"1","afghanistan","abdul_rahim_ghafoorzai_","prime minister","19970811","19970821"
"2","afghanistan","gulbuddin_hekmatyar_","prime minister","19960626","19960927"
"3","afghanistan","ahmad_shah_ahmadzai_","prime minister","19950101","19960626"
"4","afghanistan","arsala_rahmani_","prime minister","19941101","19950101"
"5","afghanistan","gulbuddin_hekmatyar_","prime minister","19930617","19940628"
"6","afghanistan","abdul_sabur_farid_kuhestani_","prime minister","19920706","19920815"
"7","afghanistan","fazal_haq_khaliqyar_","prime minister","19900508","19920415"
"8","afghanistan","sultan_ali_keshtmand_","prime minister","19890221","19900508"
"9","afghanistan","mohammad_hassan_sharq_","prime minister","19880526","19890221"
"10","afghanistan","sultan_ali_keshtmand_","prime minister","19810611","19880526"
"11","afghanistan","babrak_karmal_","prime minister","19791227","19810611"
"12","afghanistan","hafizullah_amin_","prime minister","19790327","19791227"
"13","afghanistan","nur_mohammad_taraki_","prime minister","19780501","19790327"
"14","afghanistan","mohammad_musa_shafiq_","prime minister","19721212","19730717"
"15","afghanistan","abdul_zahir_","prime minister","19710609","19721212"
"16","afghanistan","mohammad_nur_ahmad_etemadi_","prime minister","19671101","19710609"
"17","afghanistan","mawlawi_abdul_kabir_","head of the supreme council","20010416","20011113"
"18","afghanistan","mullah_mohammad_rabbani_","head of the supreme council","19960927","20010416"
"19","afghanistan","hamid_karzai_","president","20011222","20161201"
"20","afghanistan","burhanuddin_rabbani_","president","20011113","20011222"
"21","afghanistan","burhanuddin_rabbani_","president","19920628","19960927"
"22","afghanistan","sibghatullah_mojadedi_","president","19920428","19920628"
"23","afghanistan","abdul_rahim_hatef_","president","19920416","19920428"
"24","afghanistan","mohammad_najibullah_","president","19871130","19920416"
"25","afghanistan","sardar_mohammad_daud_khan_","president","19730717","19780427"
"26","afghanistan","mohammad_najibullah_","president of the revolutionary council","19870930","19871130"
"27","afghanistan","haji_mohammad_chamkani_","president of the revolutionary council","19861124","19870930"
"28","afghanistan","babrak_karmal_","president of the revolutionary council","19791227","19861124"
"29","afghanistan","hafizullah_amin_","president of the revolutionary council","19790916","19791227"
"30","afghanistan","nur_mohammad_taraki_","president of the revolutionary council","19780430","19790916"
"31","afghanistan","abdul_qadir_","chairman of the military council","19780427","19780430"
"32","afghanistan","mohammad_zahir_shah_","king","19331108","19730717"
"33","albania","sali_berisha_","prime minister","20050911","20161201"
"34","albania","fatos_nano_","prime minister","20020731","20050911"
"35","albania","pandeli_majko_","prime minister","20020222","20020731"
"36","albania","ilir_meta_","prime minister","19991029","20020222"
"37","albania","pandeli_majko_","prime minister","19981002","19991029"
"38","albania","fatos_nano_","prime minister","19970724","19981002"
"39","albania","bashkim_fino_","prime minister","19970311","19970724"
"40","albania","aleksander_meksi_","prime minister","19920413","19970311"
